Table organizer,State rank,State,species,recording,species rank witin state,Species group for Quick index by species,Species group rank,,"Species group for 
Quick index by species (same as in file ""Species Locations"""
54,6,Colorado,House sparrow,CO-139,9,House sparrow,18,,"Finches, house sparrow"
55,7,Wyoming,Sora,WY-261,1,Rails,1,,"Rails, cranes"
56,7,Wyoming,Mountain bluebird,WY-260,2,Thrushes,11,,Thrushes
57,7,Wyoming,Yellow warbler,WY-69,3,Warblers,13,,Warblers
58,7,Wyoming,Vesper sparrow,WY-253,4,Sparrows,14,,Sparrows
59,7,Wyoming,Cassin's finch,WY-264,5,Finches,17,,"Finches, house sparrow"
60,8,Montana,American robin,MT-285,1,Thrushes,11,,Thrushes
61,8,Montana,Gray catbird,MT-277,2,"Mockingbirds, catbirds, thrashers",12,,"Mockingbirds, catbirds, thrashers, starlings"
62,8,Montana,White-crowned sparrow,MT-269,3,Sparrows,14,,Sparrows
63,9,Idaho,Cordilleran flycatcher,ID-202,1,Flycatchers ,4,,"Flycatchers, cotinga"
64,9,Idaho,Veery,ID-323,2,Thrushes,11,,Thrushes
65,9,Idaho,Nashville warbler,ID-302,3,Warblers,13,,Warblers
66,9,Idaho,Yellow warbler,ID-309,4,Warblers,13,,Warblers
67,10,Oregon,Great horned owl,OR-360,1,Owls,2,,Owls
68,10,Oregon,Common nighthawk,OR-170,2,Nightjars,3,,Nightjars
69,10,Oregon,Western wood-pewee,OR-201,3,Flycatchers ,4,,"Flycatchers, cotinga"
70,10,Oregon,Hammond's flycatcher,OR-350,4,Flycatchers ,4,,"Flycatchers, cotinga"
71,10,Oregon,Pacific-slope flycatcher,OR-362,5,Flycatchers ,4,,"Flycatchers, cotinga"
72,10,Oregon,Say's phoebe,OR-192,6,Flycatchers ,4,,"Flycatchers, cotinga"
73,10,Oregon,Western kingbird,OR-331,7,Flycatchers ,4,,"Flycatchers, cotinga"
74,10,Oregon,Tree swallow,OR-363,8,Swallows,7,,"Larks, swallows"
75,10,Oregon,Black-capped chickadee,OR-359,9,"Chickadees, titmouse",8,,"Chickadees, titmouse"
76,10,Oregon,Rock wren,OR-329,10,Wrens,9,,Wrens
77,10,Oregon,Swainson's thrush,OR-373,11,Thrushes,11,,Thrushes
78,10,Oregon,Gray catbird,OR-324,12,"Mockingbirds, catbirds, thrashers",12,,"Mockingbirds, catbirds, thrashers, starlings"
79,10,Oregon,Orange-crowned warbler,OR-361,13,Warblers,13,,Warblers
80,10,Oregon,Common yellowthroat,OR-295,14,Warblers,13,,Warblers
81,10,Oregon,Yellow-breasted chat,OR-328,15,Warblers,13,,Warblers
82,10,Oregon,Spotted towhee,OR-354,16,Sparrows,14,,Sparrows
83,10,Oregon,Swainson's thrush,OR-354,17,Thrushes,11,,Thrushes
84,10,Oregon,Fox sparrow,OR-345,18,Sparrows,14,,Sparrows
85,10,Oregon,Song sparrow,OR-327,19,Sparrows,14,,Sparrows
86,10,Oregon,Dark-eyed junco,OR-336,20,Sparrows,14,,Sparrows
87,10,Oregon,Western tanager,OR-246,21,"Cardinals, tanagers, grosbeaks, buntings",15,,"Cardinals, tanagers, grosbeaks, buntings"
88,10,Oregon,Lazuli bunting,OR-313,23,"Cardinals, tanagers, grosbeaks, buntings",15,,"Cardinals, tanagers, grosbeaks, buntings"
89,10,Oregon,Lazuli bunting,OR-329,23,"Cardinals, tanagers, grosbeaks, buntings",15,,"Cardinals, tanagers, grosbeaks, buntings"
