Filename,Number,Key,Order_on_Page,Notes
121.2.1260b_SeWr_KY--4 songs--trills only slowed,121.2,KY-121,3,
122.2820_SuTa_MO,122,MO-122,1,
123.2625b_HeSp_KY,123,KY-123,1,
124.0715_WaVi_IL,124,IL-124,1,
125.0390_AcFl_KY,125,KY-125,1,
126.0890_PuMar_IL,126,IL-126,1,
127.0190_CwWi_IL,127,IL-127,1,
128.0550_GcFl_KY,128,KY-128,1,
129.0400_AcFl_MO,129,MO-129,1,
130.2815_SuTa_IL,130,IL-130,1,
131.1745_NoPa_IL,131,IL-131,1,
132.2114 2003MDTA6c--LoWa,132,IL-132,1,
133.2025_WeWa_IL,133,IL-133,1,
134.0365_EaWP_KY,134,KY-134,1,
135.2460_ChSp_IL,135,IL-135,1,
136.0100_Kill_VA,136,VA-136,1,
137.0270_RbWo_VA,137,VA-137,1,
138.3195_RwBl_IM-4,138,IL-138,1,
139.3560_HoSp_CO,139,CO-139,1,
140.1955ab_PiWa_MO,140,MO-140,1,
141.1215_HoWr_VK,141,VA-141,1,
142.1180_BeWr_CO,142,CO-142,1,
143.BeKi Track 1-56 BeKi banter,143,MO-143,1,
144.0370_EaWP_KY,144,KY-144,1,
145.2475ab_ChSp_MO,145,MO-145,1,
146.3410_OrOr_IL,146,IL-146,1,
147.1645_CeWx_OR,147,OR-147,1,
148.0670ab_YtVi_MO,148,MO-148,1,
149.0990_Chckdee_MO-2,149,MO-149,1,
150.0525_EaPh_MO,150,MO-150,1,
151.0645_BeVi_MO,151,MO-151,1,
152.2280_YbCh_MO,152,MO-152,1,
153.0415_WiFl_MO,153,MO-153,1,
154.3130_Dick_MO,154,MO-154,1,
155.3135_Dick_MO,155,MO-155,1,
156.3140_Dick_MO,156,MO-156,1,
157.3145_Dick_MO,157,MO-157,1,
158.3150_Dick_MO,158,MO-158,1,
159.3155_Dick_MO,159,MO-159,1,
160.3130-50_Dick_MO--6 birds,160,MO-160,1,
161.3240_EaMe_MO,161,MO-161,1,
162.3245_EaMe_KS,162,KS-162,1,
163.3340_BhCo_MO,163,MO-163,1,
164.2635_HeSp_MO,164,MO-164,1,
165.1.2630-35_HeSp_MO--2 normal speed,165.1,MO-165,2,
165.2630_HeSp_MO,165,MO-165,1,
166.2630-35_HeSp_MO--2 songs slowed 4 times,166,MO-165,3,
167.2630-35_HeSp_MO--2 songs slowed 8 times,167,MO-165,4,
168.1.2615_GrSp_MO--slowed,168.1,MO-168,2,
168.2615_GrSp_MO,168,MO-168,1,
169.2965_RbGr_MO,169,MO-169,1,
170.0175_CoNi_OR,170,OR-170,1,
171.WH_13T0407_Upland Sandpiper_Stanley Co. SD__01,171,KS-171,1,
172.3700_pump_KS,172,KS-172,1,
173.0570_GcFl_KS,173,KS-173,1,
174.0605_EaKi_KS,174,KS-174,1,
175.0575_WeKi_KS,175,KS-175,1,
176.StFl 2003MDTA8c,176,KS-176,1,
177.3465_BaOr_KS,177,KS-177,1,
178.3265_WeMe_CO--working copy,178,CO-178,1,
179.0050_Pbgr_OR,179,OR-179,1,
180.3255_WeMe_CO,180,CO-180,1,
181.13Y04M21_DEK2-001-ClSw,181,KS-181,1,
182.0995_BcCh_IO,182,OR-182,1,
183.0300_NoFl_KS,183,KS-183,1,
184.2580_LarBu_CO,184,CO-184,1,
185.1130_RoWr_CO,185,CO-185,1,
186.1575_NoMo_KS,186,KS-186,1,
187.0580_WeKi_KS,187,KS-187,1,
188.2425_CaSp_CO,188,CO-188,1,
189.2577_LarSp_CO,189,CO-189,1,
190.3435_BuOr_OR,190,OR-190,1,
191.3500_HoFi_OR,191,OR-191,1,
192.0535_SaPh_OR,192,OR-192,1,
193.2985_BhGr_CO,193,CO-193,1,
194.2325_SpTo_CO,194,CO-194,1,
195.0465_GrFl_CO,195,CO-195,1,
196.0455_GrFl_CO,196,CO-196,1,
197.0460_GrFl_CO,197,CO-197,1,
198.2980_BhGr_CO,198,CO-198,1,
199.1045_JuTi_CO,199,CO-199,1,
200.0675_PlVi_CO,200,CO-200,1,
201.0355_WeWP_OR,201,OR-201,1,
202.0510_CoFl_ID,202,ID-202,1,
203.0230_BtHu_CO,203,CO-203,1,
204.0235_BtHu_CO,204,CO-204,1,
205.LeGo--2003MDTA10a,205,CO-205,1,
206.0764_ClNu_CO,206,CO-206,1,
207.0345_WeWP_OR,207,OR-207,1,
208.0795_PiJa_CO,208,CO-208,1,
209.1015_MoCh_CO,209,CO-209,1,
210.1295_RcKi_CO,210,CO-210,1,
211.2235_WiWa_CO,211,CO-211,1,
212.2715_WcSp_CO--shortened,212,CO-212,1,
213.2685_LiSp_CO,213,CO-213,1,
214.1010_MoCh_CO,214,CO-214,1,
215.2491_BrSp_CO,215,CO-215,1,
216.2490_BrSp_CO,216,CO-216,1,
217.1580_SaTh_CO,217,CO-217,1,
218.0130_WiSn_CO,218,CO-218,1,
219.2500_BrSp_ID,219,ID-219,1,
220.2505_BrSp_ID,220,ID-220,1,
221.2585_SaSp_CO,221,CO-221,1,
222.0870_HoLa_CO,222,CO-222,1,
223.1140_RoWr_ID,223,ID-223,1,
224.GtTo--2003MDTA11b min 24,224,CO-224,1,
225.0420_WiFl_MT,225,MT-225,1,
226.0830_AmCr_IO,226,OR-226,1,
227.0805_BbMa_IO,227,OR-227,1,
228.MoBl--2003MDTA11c maybe,228,CO-228,1,
229.3270_WeMe_CO,229,CO-229,1,
230.1270_MaWr_CO,230,CO-230,1,
231.YbCh--2003MDTA12a Muddy Gap,231,WY-231,1,
232.0610_LoSh_CO,232,CO-232,1,
233.2790_McLo_CO,233,CO-233,1,
234.3530_AmGo_WY,234,WY-234,1,
235.2335_SpTo_WY,235,WY-235,1,
236.2285_YbCh_WY,236,WY-236,1,
237.0080_ViRa_WY,237,WY-237,1,
238.0445_LeFl_MT,238,MT-238,1,
239.0220_WtSw_OR,239,OR-239,1,
240.3510_PiSi_WY,240,WY-240,1,
241.0335_OsFl_CO,241,CO-241,1,
242.WaVi 2003MDTA13a,242,WY-242,1,
243.1380_SwTh_MT,243,MT-243,1,
244.1490_AmRo_WY,244,WY-244,1,
245.0475_DuFl_WY,245,WY-245,1,
246.2910_WeTa_OR,246,OR-246,1,
247.2880_WeTa_WY,247,WY-247,1,
248.2875_WeTa_WY,248,WY-248,1,
249.2905_WeTa_OR,249,OR-249,1,
250.0920_BaSw_WY,250,WY-250,1,
251.2765_DeJu_WY,251,WY-251,1,
252.3505_ReCr_WY,252,WY-252,1,
253.2575_VeSp_WY,253,WY-253,1,
254.Weather--2003MDTA13b,254,WY-254,1,
255.0240_BtHu_ID,255,ID-255,1,
256.1415_HeTh_CO,256,CO-256,1,
257.3595_Geys_WY,257,WY-257,1,
258.3600_Geys_WY,258,WY-258,1,
259.20090602 T1903,259,WY-259,1,
260.1335_MoBl_WY,260,WY-260,1,
261.0095_Sora_WY,261,WY-261,1,
262.1875_YrWa_WY,262,WY-262,1,
263.3480_CaFi_WY,263,WY-263,1,
264.3485_CaFi_WY,264,WY-264,1,
265.1300_RcKi_WY,265,WY-265,1,
266.2590_SaSp_WY,266,WY-266,1,
267.1020_MoCh_WY,267,WY-267,1,
268.0855_CoRa_MT,268,MT-268,1,
269.2735_WcSp_WY,269,MT-269,1,
270.2725_WcSp_WY,270,MT-270,1,
271.2730_WcSp_WY,271,MT-271,1,
272.0855_CoRa_MT--SaCrane,272,MT-272,1,
273.0875_HoLa_ID,273,ID-273,1,
274.1135_RoWr_WY,274,WY-274,1,
275.WwPewee--2003MDTA14a,275,MT-275,1,
276.0135_WiSn_MT,276,MT-276,1,
277.1535_GrCa_WY,277,MT-277,1,
278.3160_Bobo_MT,278,MT-278,1,
279.0800_BbMa_IO,279,OR-279,1,
280.3290_YhBl_CO,280,CO-280,1,
281.3375_BhCo_MT,281,MT-281,1,
282.3765_cattle_KS,282,KS-282,1,
283.0140_WiSn_MT,283,MT-283,1,
284.0865_HoLa_CO,284,CO-284,1,
285.1505_AmRo_MT,285,MT-285,1,
286.2740_WcSp_MT,286,MT-286,1,
287.1365_Veer_MT,287,MT-287,1,
288.2100_NoWa_MT,288,MT-288,1,
289.2155_McWa_MT,289,MT-289,1,
290.2705_LiSp_WY,290,MT-290,1,
291.0275_RnSa_MT,291,MT-291,1,
292.1340_ToSo_MT,292,MT-292,1,
293.1255_WiWr_OR,293,OR-293,1,
294.38 Track 38 7--MaWr,294,MT-294,1,
295.2195_CoYe_OR,295,OR-295,1,
296.0010_AmWi_MT,296,MT-296,1,
297.0055_Ospr_MT,297,MT-297,1,
298.2345_SpTo_ID,298,ID-298,1,
299.0255_LeWo_ID,299,ID-299,1,
300.1250_WiWr_OR,300,OR-300,1,
301.1250--slowed 1 song,301,OR-300,2,
302.1680_NaWa_ID,302,ID-302,1,
303.0765_StJa_ID,303,ID-303,1,
304.1515_VaTh_ID,304,ID-304,1,
305.0040_RuGr_ID--one drum,305,ID-305,2,
306.0040_RuGr_ID,306,ID-305,1,
307.2655_FoSp_ID,307,ID-307,1,
308.1905_ToWa_ID,308,ID-308,1,
309.1790_YeWa_ID,309,ID-309,1,
310.1785_YeWa_ID,310,ID-310,1,
311.2890_WeTa_OR,311,OR-311,1,
312.0025_CaQu_OR,312,OR-312,1,
313.3015_LazBu_IO,313,OR-313,1,
314.1.Canyon Wren 72 Track 72 5,314.1,OR-314,2,
314.1150_CanWr_IO,314,OR-314,1,
316.1780_YeWa_WY,316,WY-316,1,
317.3220_RwBl_CO,317,CO-317,1,
321.0085_Sora_WY,321,WY-321,1,
323.1370_Veer_ID,323,ID-323,1,
324.1545_GrCa_IO,324,OR-324,1,
325.2995_BhGr_OR,325,OR-325,1,
326.0160_MoDo_CO,326,CO-326,1,
327.2675_SoSp_IO,327,OR-327,1,
328.2290_YbCh_IO,328,OR-328,1,
329.1145_RoWr_IO,329,OR-329,1,
330.0685_CaVi_OR,330,OR-330,1,
331.0585_WeKi_OR,331,OR-331,1,
332.HoSp--14Y06M29_T780,332,OR-332,1,
333.1610_EuSt_OR,333,OR-333,1,
334.1425_HeTh_OR,334,OR-334,1,
336.DeJu 2003MDTA15d,336,OR-336,1,
337.1290_GcKi_OR,337,OR-337,1,
338.bees 20090526_T1417,338,OR-338,1,
339.3020_LazBu_OR,339,OR-339,1,
341.1080_BuTi_OR,341,OR-341,1,
342.3280_WeMe_OR,342,OR-342,1,
343.0770_StJa_OR,343,OR-343,1,
344.0860_CoRa_ID,344,ID-344,1,
345.2315_GtTo_OR,345,OR-345,1,
346.1350_ToSo_OR,346,OR-346,1,
347.1430_HeTh_OR,347,OR-347,1,
348.0340_OsFl_MT,348,MT-348,1,
350.0452_HaFl_OR,350,OR-350,1,
351.2670_SoSp_ID,351,ID-351,1,
352.TwBellbird 24 Track 24 8,352,OR-352,1,
353.1120_BrCr_OR,353,OR-353,1,
354.2360_SpTo_OR,354,OR-354,1,
355.1185_BeWr_OR,355,OR-355,1,
356.1190_BeWr_OR,356,OR-356,1,
357.1195_BeWr_OR,357,OR-357,1,
358.1200_BeWr_OR,358,OR-358,1,
359.1005_BcCh_OR,359,OR-359,1,
360.0165_GhOw_OR,360,OR-360,1,
361.1670_OcWa_OR,361,OR-361,1,
362.0500_PcFl_OR,362,OR-362,1,
363.0905_TrSw_OR,363,OR-363,1,
364.0790_WeSJ_OR,364,OR-364,1,
365.3030_LazBu_OR,365,OR-365,1,
366.0065_RtHa_OR,366,OR-366,1,
367.0280_RbSa_OR,367,OR-367,1,
368.1885_BtGyW_OR,368,OR-368,1,
369.0260_AcW0_OR,369,OR-369,1,
370.0705_HuVi_OR,370,OR-370,1,
371.1280_MaWr_OR,371,OR-371,1,
372.1395_SwTh_OR,372,OR-372,1,
373.1400_SwTh_OR,373,OR-373,1,
374.2375_SpTo_OR,374,OR-374,1,
375.2785_DeJu_OR,375,OR-375,1,
376.1035_CbCh_OR,376,OR-376,1,
377.1040_CbCh_OR,377,OR-377,1,
378.0835_AmCr_OR,378,OR-378,1,
379.0145_gull_OR,379,OR-379,1,
381.1520_WTit_OR,381,OR-381,1,
